Entry,Spoken,IPA,Written,Script (Text),Script (Image),Mandarin,English
1290,jalen,ɖʐalɯn,jalan,ᠵᠠᠯᠠᠨ,1290,世代,generation
1291,jalen ,ɖʐalɯn,jalan,ᠵᠠᠯᠠᠨ,1291,关节,joint
1292,jaliN,ɖʐaliŋ,jalingga,ᠵᠠᠯᡳᠩᡤᠠ,1292,狡,"craft, sly, cunning"
1293,jalnevem,ɖʐaɹnɯvɯm,jalunubumbi,ᠵᠠᠯᡠᠨᡠᠪᡠᠮᠪᡳ,1293,使满,causative form of jalunem (= jalunumbi)
1294,jalu,ɖʐalu,jalu,ᠵᠠᠯᡠ,1294,满,full
1295,jalunem,ɖʐalunɯm,jalunumbi,ᠵᠠᠯᡠᠨᡠᠮᠪᡳ,1295,装满,to fill
1296,jalverem,ɖʐaɹvɯrɯm,jalbarimbi,ᠵᠠᠯᠪᠠᡵᡳᠮᠪᡳ,1296,祈祷,to pray
1297,jalxi saRenjy,ɖʐaɹxi saʁɯnɖʐʲ,jalhi sarganjui,ᠵᠠᠯᡥᡳ ᠰᠠᡵᡤᠠᠨᠵᡠᡳ,1297,侄女,brother's daughter (niece)
1298,jalxy,ɖʐaɹxʲ,jalhi,ᠵᠠᠯᡥᡳ,1298,侄子,brother's son (nephew)
1299,jamer,ɖʐamɯr,jamuri,ᠵᠠᠮᡠᡵᡳ,1299,桃色,peach color
1300,jancwhun,ɖʐanʈʂʷχun,jancuhvn,ᠵᠠᠨᠴᡠᡥᡡᠨ,1300,糖之甜,sweet (like candy)
1301,jaNqw,ɖʐaŋqʷ,jangkv,ᠵᠠᠩᡴᡡ,1301,长柄大刀,large handle knife
1302,jaq,ɖʐaq,jaka,ᠵᠠᡴᠠ,1302,东西,"thing, stuff"
1303,jaqed,ɖʐaqɯd,jakade,ᠵᠠᡴᠠᡩᡝ,1303,跟前,following
1304,jaqerem,ɖʐaqɯrɯm,jakarambi,ᠵᠠᡴᠠᡵᠠᠮᠪᡳ,1304,"出缝隙, 倾斜",(of a small crack) to appear; to incline
1305,jaqerevem,ɖʐaqɯrɯvɯm,jakarabumbi,ᠵᠠᡴᠠᡵᠠᠪᡠᠮᠪᡳ,1305,"使出缝隙, 使倾斜",causative form of jaqerem (= jakarambi)
1306,jaqun,ɖʐaqun,jakvn,ᠵᠠᡴᡡᠨ,1306,八,8 (eight)
1307,jaqunjw,ɖʐaqunɖʐʷ,jakvnju,ᠵᠠᡴᡡᠨᠵᡠ,1307,八十,80 (eighty)
1308,jasem,ɖʐasɯm,,,,缸,jar
1309,jathen,ɖʐatχɯn,jadagan,ᠵᠠᡩᠠᡤᠠᠨ,1309,痨病,tuberculosis 
1310,jaVd,ɖʐaɣd,jakda,ᠵᠠᡴᡩᠠ,1310,松树,pine tree
1311,javdem,ɖʐavdɯm,jabdumbi,ᠵᠠᠪᡩᡠᠮᠪᡳ,1311,来得及,to have the time to (do something)
1312,javelm tem,ɖʐavɯɹm tɯm,,,,盘坐,to sit cross-legged
1313,javem,ɖʐavɯm,jabumbi,ᠵᠠᠪᡠᠮᠪᡳ,1313,"回答, 抓","to answer, to reply to; to catch"
1314,javem,ɖʐavɯm,jafambi,ᠵᠠᡶᠠᠮᠪᡳ,1314,"抓, 拿","to catch; to take, to hold"
1315,javenem,ɖʐavɯnɯm,jafunumbi,ᠵᠠᡶᡠᠨᡠᠮᠪᡳ,1315,摔跤,to wrestle
1316,javji,ɖʐavdʒi,jabjan,ᠵᠠᠪᠵᠠᠨ,1316,蟒蛇,python
1317,jawyun,ɖʐawjyn,juwan uyun ,ᠵᡠᠸᠠᠨ ᡠᠶᡠᠨ,1317,十九,19 (nineteen)
1318,jE,ɖʐə,je,ᠵᡝ,1318,是,"""yes"" (affirmative interjection)"
1319,jE bel,ɖʐə bɯɹ,je bele,ᠵᡝ ᠪᡝᠯᡝ,1319,栗子,millet
1320,jecen,ɖʐɯʈʂɯn,jecen,ᠵᡝᠴᡝᠨ,1320,边境,"border, boundary"
1321,jefu,ɖʐɯfu,jyfu,ᡷᠶᡶᡠ,1321,知府,prefectural/local magistrate
1322,jeksem,ɖʐɯksɯm,jeksimbi,ᠵᡝᡴᠰᡳᠮᠪᡳ,1322,厌恶,to loathe/hate
1323,jeksevem,ɖʐɯksɯvɯm,jeksibumbi,ᠵᡝᡴᠰᡳᠪᡠᠮᠪᡳ,1323,被厌恶,passive form of jeksem (= jeksimbi)
1324,jekseXwkw,ɖʐɯksɯʂʷkʷ,jeksicuke,ᠵᡝᡴᠰᡳᠴᡠᡴᡝ,1324,令人厌恶的,disgusting/nauseating
1325,jekw,ɖʐɯkʷ,jeku,ᠵᡝᡴᡠ,1325,谷物,"grain, cereals"
1326,jem,ɖʐɯm,jembi,ᠵᡝᠮᠪᡳ,1326,吃,to eat
1327,jemeN,ɖʐɯmɯŋ,jemengge,ᠵᡝᠮᡝᠩᡤᡝ,1327,食品,food
1328,jEmu,ɖʐəmu,juwan emu,ᠵᡠᠸᠠᠨ ᡝᠮᡠ,1328,十一,11 eleven
1329,jEn duyin,ɖʐən dujin,juwan duin,ᠵᡠᠸᠠᠨ ᡩᡠᡳᠨ,1329,十四,14 fourteen
1330,jEnju,ɖʐənɖʐu,juwan juwe,ᠵᡠᠸᠠᠨ ᠵᡠᠸᡝ,1330,十二,12 twelve
1331,jeNken,ɖʐɯŋkɯn,jingkin,ᠵᡳᠩᡴᡳᠨ,1331,真,truth
1332,jeNken,ɖʐɯŋkɯn,jingkin,ᠵᡳᠩᡴᡳᠨ,1332,真的,"truly, really"
1333,jeNkeny,ɖʐɯŋkɯnʲ,jingkin inu,ᠵᡳᠩᡴᡳᠨ ᡳᠨᡠ,1333,真的是,"truly, really"
1334,jeNlem,ɖʐɯŋlɯm,jenglembi,ᠵᡝᠩᠯᡝᠮᠪᡳ,1334,蒸,to steam
1335,jerjaq,ɖʐɯrɖʐaq,jere jaka,ᠵᡝᡵᡝ ᠵᠠᡴᠠ,1335,食物,staple food
1336,jerVy,ɖʐɯrɣʲ,jergi,ᠵᡝᡵᡤᡳ,1336,"级别, 等级","class, rank, group"
1337,jetem,ɖʐɯtɯm,jetembi,ᠵᡝᡨᡝᠮᠪᡳ,1337,吃,to snack
1338,jeter jaq,ɖʐɯtɯr ɖʐaq,jetere jaka,ᠵᡝᡨᡝᡵᡝ ᠵᠠᡴᠠ,1338,食物,edibles
1339,jevevem,ɖʐɯvɯvɯm,jebobumbi,ᠵᡝᠪᠣᠪᡠᠮᠪᡳ,1339,受累,to be put into a lot of trouble
1340,jeyin,ɖʐɯjin,jeyen,ᠵᡝᠶᡝᠨ,1340,刃,edge (of a blade)
1341,ji,dʒi,jui,ᠵᡠᡳ,1341,孩子,child
1342,jidujy,dʒiduɖʐʲ,jiduji,ᠵᡳᡩᡠᠵᡳ,1342,到底,"finally, in the end, after all"
1343,jif ,dʒif,jifu ,ᠵᡳᡶᡠ,1343,锈,rust
1344,jifsy gisun,dʒifsʲ ɡisun,jibsi gisun,ᠵᡳᠪᠰᡳ ᡤᡳᠰᡠᠨ,1344,母语,"native language, native tongue"
1345,jiftem,dʒiftɯm,jifutembi,ᠵᡳᡶᡠᡨᡝᠮᠪᡳ,1345,生锈,to rust
1346,jilam,dʒilam,jilambi,ᠵᡳᠯᠠᠮᠪᡳ,1346,怜爱,to have affection for
1347,jilaq,dʒilaq,jilaka,ᠵᡳᠯᠠᡴᠠ,1347,可怜,"pitiful, poor, miserable"
1348,jilaXwqw,dʒilaʂʷqʷ,jilacuka,ᠵᡳᠯᠠᠴᡠᡴᠠ,1348,令人怜爱的,pitiful
1349,jildam,dʒiɹdam,jilidambi,ᠵᡳᠯᡳᡩᠠᠮᠪᡳ,1349,动气,to get angry
1350,jilRan,dʒiɹʁan,jilgan,ᠵᡳᠯᡤᠠᠨ,1350,声音,voice
1351,jilRan,dʒiɹʁan,jilgan,ᠵᡳᠯᡤᠠᠨ,1351,声音,"voice, sound, noise"
1352,jilRan,dʒiɹʁan,jilgan,ᠵᡳᠯᡤᠠᠨ,1352,声音,voice
1353,jilRanem ,dʒiɹʁanɯm,jilganambi,ᠵᡳᠯᡤᠠᠨᠠᠮᠪᡳ,1353,出声,"to make a sound, to sound/ring"
1354,jily,dʒilʲ,jili,ᠵᡳᠯᡳ,1354,生气之气,"anger, rage"
1355,jim,dʒim,jimbi,ᠵᡳᠮᠪᡳ,1355,来,to come
1356,jir jyar,dʒir ɖʐʲar,jir jiyar,ᠵᡳᡵ ᠵᡳᠶᠠᡵ,1356,群鸟叫声,(of birds) chirping sound
1357,jiRa,dʒiʁa,jiha,ᠵᡳᡥᠠ,1357,钱,"money, bronze coin"
1358,jiRa bisir nan ,dʒiʁa biɕir nan,jiha bisire nane,ᠵᡳᡥᠠ ᠪᡳᠰᡳᡵᡝ ᠨᠠᠨᡝ,1358,有钱人,rich person
1359,jiram,dʒiram,jiramin,ᠵᡳᡵᠠᠮᡳᠨ,1359,厚,thick
1360,jirVelem,dʒirɣɯlɯm,jergilembi,ᠵᡝᡵᡤᡳᠯᡝᠮᠪᡳ,1360,叠双层,to overlay
1361,jirx,dʒirx,jergi,ᠵᡝᡵᡤᡳ,1361,层,story (floor)
1362,jocim,ɖʐɔtɕim,jocimbi,ᠵᠣᠴᡳᠮᠪᡳ,1362,败落,"to be at a complete loss, to decline"
1363,jocivem,ɖʐɔtɕivɯm,jocibumbi,ᠵᠣᠴᡳᠪᡠᠮᠪᡳ,1363,使败落,causative form of jocim (= jocimbi)
1364,jodum,ɖʐɔdum,jodombi,ᠵᠣᡩᠣᠮᠪᡳ,1364,织,to knit
1365,jofhory,ɖʐɔfχɔrʲ,jofohori,ᠵᠣᡶᠣᡥᠣᡵᡳ,1365,橘子,mandarin orange
1366,jolRo,ɖʐɔɹʁɔ,jolho,ᠵᠣᠯᡥᠣ,1366,缰绳,reins
1367,jonum,ɖʐɔnum,jonombi,ᠵᠣᠨᠣᠮᠪᡳ,1367,"提及, 念及","to mention, to recall"
1368,joom,ɖʐɔɔm,juwembi,ᠵᡠᠸᡝᠮᠪᡳ,1368,运,to carry
1369,joro morin,ɖʐɔrɔ mɔrin,joro morin ,ᠵᠣᡵᠣ ᠮᠣᡵᡳᠨ,1369,"竞走, 走快的马","(including horses) walking race, a fast horse"
1370,jorRun bya,ɖʐɔrʁun bʲa,jorgon biya,ᠵᠣᡵᡤᠣᠨ ᠪᡳᠶᠠ,1370,十二月,twelfth month
1371,joRun,ɖʐɔʁun,jugvn,ᠵᡠᡤᡡᠨ,1371,路,"way, road, path"
1372,jovelem,ɖʐɔvɯlɯm,jobolombi,ᠵᠣᠪᠣᠯᠣᠮᠪᡳ,1372,使苦难,causative form of jovem (= jovembi)
1373,jovem,ɖʐɔvɯm,jobombi,ᠵᠣᠪᠣᠮᠪᡳ,1373,受累,to get dragged into (trouble)
1374,joveXem,ɖʐɔvɯʂɯm,joboxombi,ᠵᠣᠪᠣᡧᠣᠮᠪᡳ,1374,受累,to get dragged into (trouble)
1375,jovulun,ɖʐɔvulun,jobolon,ᠵᠣᠪᠣᠯᠣᠨ,1375,苦难,suffering
1376,ju,ɖʐu,juwe,ᠵᡠᠸᡝ,1376,二,2 (two) 
1377,ju irVi,ɖʐu irɣi,juwe ergi,ᠵᡠᠸᡝ ᡝᡵᡤᡳ,1377,两面,both sides
1378,ju taN,ɖʐu taŋ,juwe tanggv,ᠵᡠᠸᡝ ᡨᠠᠩᡤᡡ,1378,二百,200 (two hundred)
1379,juktuxun,ɖʐuktuxun,juktehen,ᠵᡠᡴᡨᡝᡥᡝᠨ,1379,庙,temple
1380,jukun,ɖʐukun,juken,ᠵᡠᡴᡝᠨ,1380,"差的, 不好的",bad
1381,jula,ɖʐula,jula,ᠵᡠᠯᠠ,1381,蜡烛,candle
1382,julErVi,ɖʐulərɣi,julergi,ᠵᡠᠯᡝᡵᡤᡳ,1382,"前面, 南面 ","front, south"
1383,julsy,ɖʐuɹsʲ,julesi,ᠵᡠᠯᡝᠰᡳ,1383,"往前, 往南","frontwards, southwards"
1384,julun,ɖʐulun,julen,ᠵᡠᠯᡝᠨ,1384,长篇小说,legend
1385,julw,ɖʐulʷ,jule,ᠵᡠᠯᡝ,1385,前面,front
1386,julxw,ɖʐuɹxʷ,julge,ᠵᡠᠯᡤᡝ,1386,前面 ,front
1387,jum bum,ɖʐum bum,juwen bumbi,ᠵᡠᠸᡝᠨ ᠪᡠᠮᠪᡳ,1387,借给,"to loan, to lend"
1388,jum gaem,ɖʐum ɡæm,juwen gaimbi,ᠵᡠᠸᡝᠨ ᡤᠠᡳᠮᠪᡳ,1388,借来,"to borrow, to rent"
1389,jun,ɖʐun,jun,ᠵᡠᠨ,1389,灶,"hearth, stove "
1390,juram,ɖʐuram,jurambi,ᠵᡠᡵᠠᠮᠪᡳ,1390,启程,"to set out, to begin (a journey)"
1391,jurRan,ɖʐurʁan,jurgan,ᠵᡠᡵᡤᠠᠨ,1391,"义, 部门","justice, righteousness; ministry"
1392,jurum,ɖʐurum,jurumbi,ᠵᡠᡵᡠᠮᠪᡳ,1392,呕吐,to vomit
1393,jurw,ɖʐurʷ,juweru,ᠵᡠᠸᡝᡵᡠ,1393,双,"a pair, couple"
1394,jurw nyamen,ɖʐurʷ nʲamɯn,juweru niyaman,ᠵᡠᠸᡝᡵᡠ ᠨᡳᠶᠠᠮᠠᠨ,1394,双亲,parents (in polite form)
1395,jurxuN yas,ɖʐurxuŋ jas,jursungge yasa,ᠵᡠᡵᠰᡠᠩᡤᡝ ᠶᠠᠰᠠ,1395,双眼皮,double eyelid
1396,jus,ɖʐus,juse,ᠵᡠᠰᡝ,1396,孩子们,children
1397,jus omol,ɖʐus ɔmɔɹ,juse omolo,ᠵᡠᠰᡝ ᠣᠮᠣᠯᠣ,1397,子孙,offspring
1398,juVo,ɖʐuɣɔ,juhe,ᠵᡠᡥᡝ,1398,冰,ice
1399,juvwo,ɖʐuvʷɜ,jube,ᠵᡠᠪᡝ,1399,故事,"tale, story"
1400,juxwdem,ɖʐuxʷdɯm,jukdembi,ᠵᡠᡴᡩᡝᠮᠪᡳ,1400,供奉,"to worship, to make an offering"
1401,jwailan,ɖʐʷajlan,juwan ilan,ᠵᡠᠸᠠᠨ ᡳᠯᠠᠨ,1401,十三 ,13 (thirteen)
1402,jwalm,ɖʐʷɑɹm,juwalambi,ᠵᡠᠸᠠᠯᠠᠮᠪᡳ,1402,赚,"to gain, to earn, to make profit"
1403,jwalReN,ɖʐʷɑɹʁɯŋ,juwalahangge,ᠵᡠᠸᠠᠯᠠᡥᠠᠩᡤᡝ,1403,赚了的,"a gain, profit"
1404*,jwan,ɖʐʷɑn,juwan,ᠵᡠᠸᠠᠨ,1404*,十,10 (ten)
1405,jwanaden,ɖʐʷɑnadɯn,juwan nadan,ᠵᡠᠸᠠᠨ ᠨᠠᡩᠠᠨ,1405,十七,17 (seventeen)
1406,jwaniNun,ɖʐʷɑniŋun,juwan ninggun,ᠵᡠᠸᠠᠨ ᠨᡳᠩᡤᡠᠨ,1406,十六,16 (sixteen)
1407,jwanjaqun,ɖʐʷɑnɖʐaqun,juwan jakvn,ᠵᡠᠸᠠᠨ ᠵᠠᡴᡡᠨ,1407,十八,18 (eighteen)
1408,jyaNen,ɖʐʲaŋɯn,janggin,ᠵᠠᠩᡤᡳᠨ,1408,章京,Qing Dynasty military official
1409,jyeciiN,ɖʐʲətɕiiŋ,jacin ningge,ᠵᠠᠴᡳᠨ ᠨᡳᠩᡤᡝ,1409,第二的,second
1410,jyecy,ɖʐʲətɕʲ,jacin,ᠵᠠᠴᡳᠨ,1410,次位,"second, next"
1411,jyecy age,ɖʐʲətɕʲ aɡɯ,jacin age,ᠵᠠᠴᡳᠨ ᠠᡤᡝ,1411,二哥,second elder brother
1412,jyejim,ɖʐʲədʒim,jajambi,ᠵᠠᠵᠠᠮᠪᡳ,1412,背,to carry on one's back
1413,jyelevem,ɖʐʲəlɯvɯm,jailabumbi,ᠵᠠᡳᠯᠠᠪᡠᠮᠪᡳ,1413,移开,(causative form of jyelm (= jailambi)) to move away
1414,jyelm,ɖʐʲəɹm,jailambi,ᠵᠠᡳᠯᠠᠮᠪᡳ,1414,躲,"to hide, to dodge, to avoid"
1415,jyesyhen,ɖʐʲəsʲχɯn,jasigan,ᠵᠠᠰᡳᡤᠠᠨ,1415,信,letter
1416,jyor,ɖʐʲɔr,juwari,ᠵᡠᠸᠠᡵᡳ,1416,夏天,summer
1417,jyoreXem,ɖʐʲɔrɯʂɯm,jorixambi,ᠵᠣᡵᡳᡧᠠᠮᠪᡳ,1417,指示,to indicate
1418,jyorum,ɖʐʲɔrum,jorimbi,ᠵᠣᡵᡳᠮᠪᡳ,1418,指,to point to
1419,jyorun,ɖʐʲɔrun,jorin,ᠵᠣᡵᡳᠨ,1419,指示,"standard, instruction, mark"
1420,jyufwjya,ɖʐʲyfʷɖʐʲa,jibca,ᠵᡳᠪᠴᠠ,1420,皮袄,skin coat
1421,jyufwxun,ɖʐʲyfʷxun,jibehun,ᠵᡳᠪᡝᡥᡠᠨ,1421,被褥之被,bedding quilt
1422,jyujyum,ɖʐʲyɖʐʲym,jijumbi,ᠵᡳᠵᡠᠮᠪᡳ,1422,画线条,to draw a line
1423,jyujyun,ɖʐʲyɖʐʲyn,jijun,ᠵᡳᠵᡠᠨ,1423,线条,line
1424,jyusywxun,ɖʐʲysʲʷxun,jusihun,ᠵᡠᠰᡳᡥᡠᠨ,1424,酸,sour
1425,jyuzyunem,ɖʐʲyzʲynɯm,jusinambi,ᠵᡠᠰᡳᠨᠠᠮᠪᡳ,1425,酸了,to become sour
1426,jywol,ɖʐʲʷɜɹ,juwali,ᠵᡠᠸᠠᠯᡳ,1426,"旋毛, 笊篱","hair whorl (of the head), cowlick; strainer, colander"
1427,kacas,kaʈʂas,k'acas,ᡴ᠋ᠠᠴᠠᠰ,1427,八叉,eight-pronged
1428,kafei,kafɯj,k'afei,ᡴ᠋ᠠᡶᡝᡳ,1428,咖啡,coffee
1429,kalem,kalɯm,k'alambi,ᡴ᠋ᠠᠯᠠᠮᠪᡳ,1429,卡住,to get stuck
1430,kandas,kandas,,,,衬衣,undershirt
1431,kecen,kɯʈʂɯn,hecen,ᡥᡝᠴᡝᠨ,1431,院墙,courtyard wall
1432,kefsem,kɯfsɯm,kebsembi,ᡴᡝᠪᠰᡝᠮᠪᡳ,1432,策马,to spur on a house
1433,keibisw,kɯjbisʷ,keibisu,ᡴᡝᡳᠪᡳᠰᡠ,1433,毯子,"carpet, rug"
1434,kekerem,kɯkɯrɯm,kekerembi,ᡴᡝᡴᡝᡵᡝᠮᠪᡳ,1434,打饱嗝,to belch
1435,kemen,kɯmɯn,kemun,ᡴᡝᠮᡠᠨ,1435,"量, 尺度",ruler
1436,kemnem,kɯmnɯm,kemnembi,ᡴᡝᠮᠨᡝᠮᠪᡳ,1436,比对,to compare
1437,keNer,kɯŋɯr,kenggere,ᡴᡝᠩᡤᡝᡵᡝ,1437,太鼓,Taiko (Japanese drum)
1438,keNkE,kɯŋkə,hengke,ᡥᡝᠩᡴᡝ,1438,甜瓜,"muskmelon, sweet melon"
1439,kenVunjem,kɯnɣunɖʐɯm,kenehunjembi,ᡴᡝᠨᡝᡥᡠᠨᠵᡝᠮᠪᡳ,1439,疑虑,"to doubt, to suspect"
1440,keskE ,kɯskə,kesike,ᡴᡝᠰᡳᡴᡝ,1440,猫,cat
1441,kesy kesy kesy ,kɯsʲ kɯsʲ kɯsʲ,kesi kesi kesi,ᡴᡝᠰᡳ ᡴᡝᠰᡳ ᡴᡝᠰᡳ,1441,吼猫声,(cat-calling sound)
1442,keteman,kɯtɯman,,,,土铲,earth shovel
1443,ketkenem,kɯtkɯnɯm,ketkenembi,ᡴᡝᡨᡴᡝᠨᡝᠮᠪᡳ,1443,跳,to jump (up); to spring
1444,kevel,kɯvɯɹ,hefeli,ᡥᡝᡶᡝᠯᡳ,1444,腹部,"stomach, belly, abdomen, bosom"
1445,kevelem,kɯvɯlɯm,hefeliyembi,ᡥᡝᡶᡝᠯᡳᠶᡝᠮᠪᡳ,1445,"怀孕, 怀抱",to become pregnant; to embrace (in the bosom)
1446,kevelm,kɯvɯɹm,hefelembi,ᡥᡝᡶᡝᠯᡝᠮᠪᡳ,1446,揽怀入睡,to hold in the bosom while resting
1447,kevelVei,kɯvɯɹɣɯj,,,,"怀孕, 怀里抱",to become pregnant; to embrace in the bosom
1448,kicEb,kiʈʂəb,kicebe,ᡴᡳᠴᡝᠪᡝ,1448,勤奋,"hardworking, diligent"
1449,kidum,kidum,kidumbi,ᡴᡳᡩᡠᠮᠪᡳ,1449,思念,"to think about, to long for, to miss"
1450,kifcan,kifʈʂan,hibcan,ᡥᡳᠪᠴᠠᠨ,1450,节俭,"frugal, economical"
1451,kifcarem,kifʈʂarɯm,hibcarambi,ᡥᡳᠪᠴᠠᡵᠠᠮᠪᡳ,1451,节俭,"to be frugal, economical"
1452,kifsw,kifsʷ,hibsu,ᡥᡳᠪᠰᡠ,1452,蜂蜜,honey
1453,kilo,kilɔ,kilo,ᡴᡳᠯᠣ,1453,千米,kilometer
1454,kilogeram,kilɔɡɯram,kilo geram,ᡴᡳᠯᠣ ᡤᡝᡵᠠᠮ,1454,公斤,kilogram
1455,kimcim,kimtɕim,kimcimbi,ᡴᡳᠮᠴᡳᠮᠪᡳ,1455,仔细,"to be careful, to be attentive"
1456,kiram,kiram,hirambi,ᡥᡳᡵᠠᠮᠪᡳ,1456,斜眼看人,to glare at 
1457,kirim,kirim,kirimbi,ᡴᡳᡵᡳᠮᠪᡳ,1457,忍,"to endure, to tolerate"
1458,kirw,kirʷ,kiru,ᡴᡳᡵᡠ,1458,旗,"flag, banner"
1459,kisalm,kisaɹm,hisalambi,ᡥᡳᠰᠠᠯᠠᠮᠪᡳ,1459,奠酒,to perform a libation
1460,kisam,kisam,,,,溢出,"to spill over, to overflow"
1461,kisavem,kisavɯm,,,,使溢出,causative form of kisam
1462,kishan,kisχan,hishan,ᡥᡳᠰᡥᠠᠨ,1462,污垢,"filth, grime"
1463,kithun,kitχun,hithvn,ᡥᡳᡨᡥᡡᠨ,1463,指甲,fingernail
1464,ku ,ku,ku,ᡴᡠ,1464,宝库,treasure storehouse
1465,kukun,kukun,hukun,ᡥᡠᡴᡠᠨ,1465,"肥料, 垃圾","fertilizer, trash"
1466,kum,kum,,,,浮肿,"swelling, bloatedness"
1467,kumun,kumun,kumun,ᡴᡠᠮᡠᠨ,1467,"乐器, 音乐","instrument, music"
1468,kundulm,kunduɹm,kundulembi,ᡴᡠᠨᡩᡠᠯᡝᠮᠪᡳ,1468,宽待,to treat cordially
1469,kurtun,kurtun,kurtun,ᡴᡠᡵᡨᡠᠨ,1469,轮子,wheel
1470,kurvum,kurvum,kurbumbi,ᡴᡠᡵᠪᡠᠮᠪᡳ,1470,翻来覆去,to toss and turn (in bed)
1471,kurvw,kurvʷ,kurbu,ᡴᡠᡵᠪᡠ,1471,桥,bridge
1472,kusi,kuɕi,huwesi,ᡥᡠᠸᡝᠰᡳ,1472,小刀,knife
1473,kusilm,kuɕiɹm,huwesilembi,ᡥᡠᠸᡝᠰᡳᠯᡝᠮᠪᡳ,1473,刀刃(动词),(using a knife) to stab
1474,kusw,kusʷ,kuse,ᡴᡠᠰᡝ,1474,泡沫,foam; bubble
1475,kutulm,kutuɹm,kutulembi,ᡴᡠᡨᡠᠯᡝᠮᠪᡳ,1475,牵,"(of animals) to lead, to pull"
1476,kuvun,kuvun,kubun,ᡴᡠᠪᡠᠨ,1476,棉花,cotton wool
1477,kyav cyemcy,kʲav tɕʲəmtɕʲ,,,,厚布裙子,thick-cloth shirt
1478,kyaver,kʲavɯr,kafur,ᡴᠠᡶᡠᡵ,1478,脆,"crispy, crunchy"
1479,kyes,kʲəs,hiyase,ᡥᡳᠶᠠᠰᡝ,1479,盒子,"box, case"
1480,kyontwhun,kʲɔntʷχun,kithvn,ᡴᡳᡨᡥᡡᠨ,1480,指甲,fingernail
1481,lafw,lafʷ,lafu,ᠯᠠᡶᡠ,1481,白菜,Chinese cabbage
1482,lahsem,laχsɯm,laksambi,ᠯᠠᡴᠰᠠᠮᠪᡳ,1482,脏了,to become dirty/soiled
1483,lahsevem,laχsɯvɯm,laksabumbi,ᠯᠠᡴᠰᠠᠪᡠᠮᠪᡳ,1483,使脏,causative form of lahsem (= laksambi)
1484,laijem,lajɖʐɯm,laijambi,ᠯᠠᡳᠵᠠᠮᠪᡳ,1484,挂靠,to be affiliated with 
1485,lal beda,laɹ bɯda,lala buda,ᠯᠠᠯᠠ ᠪᡠᡩᠠ,1485,蒸饭,steamed rice
1486,lam,lam,lama,ᠯᠠᠮᠠ,1486,喇嘛,lama (Tibetan Buddhism)
1487,lam yiVE,lam jiɣə,lama niyehe,ᠯᠠᠮᠠ ᠨᡳᠶᡝᡥᡝ,1487,野鸭的一种,"wild duck, Mandarin duck"
1488,lamsem,lamsɯm,lamsambi,ᠯᠠᠮᠰᠠᠮᠪᡳ,1488,(面)折,"(of a side, surface) to fold"
1489,lamun,lamun,lamun,ᠯᠠᠮᡠᠨ,1489,蓝色,blue
1490,laNs,laŋs,langse,ᠯᠠᠩᠰᡝ,1490,脏,"dirty, filthy"
1491,laNs om,laŋs ɔm,langse ombi,ᠯᠠᠩᠰᡝ ᠣᠮᠪᡳ,1491,脏了,"to become dirty, filthy"
1492,laNtu,laŋtu,,,,榔头,hammer
1493,laNu,laŋu,langgu,ᠯᠠᠩᡤᡠ,1493,南瓜,pumpkin
1494,laq sem,laq sɯm,lak seme,ᠯᠠᡴ ᠰᡝᠮᡝ,1494,落实状,appearance of being practical
1495,lash,lasχ,lasha,ᠯᠠᠰᡥᠠ,1495,决,"resolute, definitive"
1496,lashelm,lasχɯɹm,lashalambi,ᠯᠠᠰᡥᠠᠯᠠᠮᠪᡳ,1496,决断,to make a decision
1497,latem,latɯm,latumbi,ᠯᠠᡨᡠᠮᠪᡳ,1497,"粘, 贴",to stick to
1498,latevem,latɯvɯm,latubumbi,ᠯᠠᡨᡠᠪᡠᠮᠪᡳ,1498,"使粘, 使贴",causative form of latem (= latumbi)
1499,lavdw,lavdʷ,labdu,ᠯᠠᠪᡩᡠ,1499,多,"many, much"
1500,lavdwqen,lavdʷqɯn,labdukan,ᠯᠠᠪᡩᡠᡴᠠᠨ,1500,多一点,"more, a little more"
1501,lE lE lE ,lə lə lə,le le le,ᠯᡝ ᠯᡝ ᠯᡝ,1501,唤猪声,(pig-calling sound)
1502,lef,lɯf,lefu,ᠯᡝᡶᡠ,1502,熊,bear
1503,lefsem,lɯfsɯm,,,,大块朵颐,"to guzzle, to eat ravenously"
1504,leftelm,lɯftɯɹm,lebterembi,ᠯᡝᠪᡨᡝᡵᡝᠮᠪᡳ,1504,弄通,to get a good grasp of 
1505,leftelvem,lɯftɯɹvɯm,lebterebumbi,ᠯᡝᠪᡨᡝᡵᡝᠪᡠᠮᠪᡳ,1505,使弄通,causative form of leftelm (= lebterembi)
1506,lek,lɯk,leke,ᠯᡝᡴᡝ,1506,磨刀石,"whetstone, grinding stone"
1507,lekem,lɯkɯm,lekembi,ᠯᡝᡴᡝᠮᠪᡳ,1507,磨刀,to sharpen (a knife)
1508,lempen,lɯmpʰɯn,lempen,ᠯᡝᠮᡦᡝᠨ,1508,棚,"shed, shack"
1509,lev lavaqw ,lɯv lavaqʷ,lebe laba akv,ᠯᡝᠪᡝ ᠯᠠᠪᠠ ᠠᡴᡡ,1509,超出常规的,irregular
1510,leVderem,lɯɣdɯrɯm,lekterembi,ᠯᡝᡴᡨᡝᡵᡝᠮᠪᡳ,1510,走形,"to deform, to lose shape"
