Entry,Spoken,IPA,Written,Script (Text),Script (Image),Mandarin,English
103,amba,amba,amba,ᠠᠮᠪᠠ,103,大,"big, large, great"
104,ambage,ambaɡɯ,amba age,ᠠᠮᠪᠠ ᠠᡤᡝ,104,大哥,eldest brother
105,ambaliN,ambaliŋ,ambalinggv,ᠠᠮᠪᠠᠯᡳᠩᡤᡡ,105,"伟大, 大方","great, dignified"
106,ambame,ambamɯ,amba ama,ᠠᠮᠪᠠ ᠠᠮᠠ,106,大伯,father's elder brother
107,amban,amban,amban,ᠠᠮᠪᠠᠨ,107,大臣,cabinet minister
108,amberem,ambɯrɯm,ambarambi,ᠠᠮᠪᠠᡵᠠᠮᠪᡳ,108,扩大,"to expand, to enlarge"
109,ambo,ambɔ,amba boo,ᠠᠮᠪᠠ ᠪᠣᠣ,109,大家,"main home, main residence"
110,ambu,ambu,amba ,ᠠᠮᠪᠠ,110,大,"big, large, older"
111,ambuni,ambuni,amba eniye,ᠠᠮᠪᠠ ᡝᠨᡳᠶᡝ,111,伯母,father's elder brother's wife
112,amcem,amʈʂɯm,amcambi,ᠠᠮᠴᠠᠮᠪᡳ,112,追,"to pursue, to run after, to chase"
113,ame,amɯ,ama,ᠠᠮᠠ,113,父亲,father
114,amel,amɯɹ,amala,ᠠᠮᠠᠯᠠ,114,"后, 后来","after, afterwards/later"
115,ameni,amɯni,ama ni,ᠠᠮᠠ ᠨᡳ,115,他爸,father
116,amerVi,amɯrɣi,amargi,ᠠᠮᠠᡵᡤᡳ,116,"后面, 北面","rear/behind, north"
117,amG enen,amɢ ɯnɯn,amga enen,ᠠᠮᡤᠠ ᡝᠨᡝᠨ,117,后裔,descendants
118,amh,amχ,amha,ᠠᠮᡥᠠ,118,"公公, 老丈人",father-in-law
119,amilen,amilɯn,amila,ᠠᠮᡳᠯᠠ,119,雄禽,"rooster, cock (male bird)"
120,amnem,amnɯm,amnambi,ᠠᠮᠨᠠᠮᠪᡳ,120,模仿,"to imitate, to copy"
121,amqEn,amqən,ambakan,ᠠᠮᠪᠠᡴᠠᠨ,121,稍大,"slightly large, older"
122,amRem,amʁɯm,amgambi,ᠠᠮᡤᠠᠮᠪᡳ,122,睡觉,to sleep
123,amsy,amsʲ,amasi,ᠠᠮᠠᠰᡳ,123,"往后, 往北","backwards, northwards"
124,amtilm,amtiɹm,amtalambi,ᠠᠮᡨᠠᠯᠠᠮᠪᡳ,124,品尝,"to taste, to sample"
125,amtin,amtin,amtan,ᠠᠮᡨᠠᠨ,125,"味, 趣味; 兴趣, 甜","taste, sweet, interest"
126,amtiN,amtiŋ,amtangga,ᠠᠮᡨᠠᠩᡤᠠ,126,"甜, 味香, 有趣味",tasty; sweet
127,amtyaqw,amtʲaqʷ,amtan akv,ᠠᠮᡨᠠᠨ ᠠᡴᡡ,127,"无味, 无趣","tasteless, dull"
128,amuran,amuran,amuran,ᠠᠮᡠᡵᠠᠨ,128,喜好,"preference, taste"
129,aN,aŋ,angga,ᠠᠩᡤᠠ,129,口,mouth
130,an,an,ainu,ᠠᡳᠨᡠ,130,"怎么, 为什么","how, why"
131,an ,an,an,ᠠᠨ,131,平常,"common, ordinary"
132,aN aljem,aŋ aɹɖʐɯm,angga aljambi,ᠠᠩᡤᠠ ᠠᠯᠵᠠᠮᠪᡳ,132,松口答应,to give one's consent
133,anE,anə,ainu,ᠠᡳᠨᡠ,133,什么(强调),How/why (emphasized)
134,anem,anɯm,anambi,ᠠᠨᠠᠮᠪᡳ,134,推,to push
135,ani bya,ani bʲa,aniya biya,ᠠᠨᡳᠶᠠ ᠪᡳᠶᠠ,135,正月,first month of the lunar year
