Entry,Spoken,IPA,Written,Script Version,Script,Mandarin,English
1367,jonum,ɖʐɔnum,jonombi,ᠵᠣᠨᠣᠮᠪᡳ,,"提及, 念及","to mention, to recall"
1368,joom,ɖʐɔɔm,juwembi,ᠵᡠᠸᡝᠮᠪᡳ,,运,to carry
1369,joro morin,ɖʐɔrɔ mɔrin,joro morin ,ᠵᠣᡵᠣ ᠮᠣᡵᡳᠨ,,"竞走, 走快的马","(including horses) walking race, a fast horse"
1370,jorRun bya,ɖʐɔrʁun bʲa,jorgon biya,ᠵᠣᡵᡤᠣᠨ ᠪᡳᠶᠠ,,十二月,twelfth month
1371,joRun,ɖʐɔʁun,jugvn,ᠵᡠᡤᡡᠨ,,路,"way, road, path"
1372,jovelem,ɖʐɔvɯlɯm,jobolombi,ᠵᠣᠪᠣᠯᠣᠮᠪᡳ,,使苦难,causative form of jovem (= jovembi)
1373,jovem,ɖʐɔvɯm,jobombi,ᠵᠣᠪᠣᠮᠪᡳ,,受累,to get dragged into (trouble)
1374,joveXem,ɖʐɔvɯʂɯm,joboxombi,ᠵᠣᠪᠣᡧᠣᠮᠪᡳ,,受累,to get dragged into (trouble)
1375,jovulun,ɖʐɔvulun,jobolon,ᠵᠣᠪᠣᠯᠣᠨ,,苦难,suffering
1376,ju,ɖʐu,juwe,ᠵᡠᠸᡝ,,二,2 (two) 
1377,ju irVi,ɖʐu irɣi,juwe ergi,ᠵᡠᠸᡝ ᡝᡵᡤᡳ,,两面,both sides
1378,ju taN,ɖʐu taŋ,juwe tanggv,ᠵᡠᠸᡝ ᡨ᠋ᠠᠩᡤᡡ,,二百,200 (two hundred)
1379,juktuxun,ɖʐuktuxun,juktehen,ᠵᡠᡴᡨᡝ᠋ᡥᡝᠨ,,庙,temple
1380,jukun,ɖʐukun,juken,ᠵᡠᡴᡝᠨ,,"差的, 不好的",bad
1381,jula,ɖʐula,jula,ᠵᡠᠯᠠ,,蜡烛,candle
1382,julErVi,ɖʐulərɣi,julergi,ᠵᡠᠯᡝᡵᡤᡳ,,"前面, 南面 ","front, south"
1383,julsy,ɖʐuɹsʲ,julesi,ᠵᡠᠯᡝᠰᡳ,,"往前, 往南","frontwards, southwards"
1384,julun,ɖʐulun,julen,ᠵᡠᠯᡝᠨ,,长篇小说,legend
1385,julw,ɖʐulʷ,jule,ᠵᡠᠯᡝ,,前面,front
1386,julxw,ɖʐuɹxʷ,julge,ᠵᡠᠯᡤᡝ,,前面 ,front
1387,jum bum,ɖʐum bum,juwen bumbi,ᠵᡠᠸᡝᠨ ᠪᡠᠮᠪᡳ,,借给,"to loan, to lend"
1388,jum gaem,ɖʐum ɡæm,juwen gaimbi,ᠵᡠᠸᡝᠨ ᡤᠠᡳ᠌ᠮᠪᡳ,,借来,"to borrow, to rent"
1389,jun,ɖʐun,jun,ᠵᡠᠨ,,灶,"hearth, stove "
1390,juram,ɖʐuram,jurambi,ᠵᡠᡵᠠᠮᠪᡳ,,启程,"to set out, to begin (a journey)"
1391,jurRan,ɖʐurʁan,jurgan,ᠵᡠᡵᡤᠠᠨ,,"义, 部门","justice, righteousness; ministry"
1392,jurum,ɖʐurum,jurumbi,ᠵᡠᡵᡠᠮᠪᡳ,,呕吐,to vomit
1393,jurw,ɖʐurʷ,juweru,ᠵᡠᠸᡝᡵᡠ,,双,"a pair, couple"
1394,jurw nyamen,ɖʐurʷ nʲamɯn,juweru niyaman,ᠵᡠᠸᡝᡵᡠ ᠨᡳᠶᠠᠮᠠᠨ,,双亲,parents (in polite form)
1395,jurxuN yas,ɖʐurxuŋ jas,jursungge yasa,ᠵᡠᡵᠰᡠᠩᡤᡝ ᠶᠠᠰᠠ,,双眼皮,double eyelid
1396,jus,ɖʐus,juse,ᠵᡠᠰᡝ,,孩子们,children
1397,jus omol,ɖʐus ɔmɔɹ,juse omolo,ᠵᡠᠰᡝ ᠣᠮᠣᠯᠣ,,子孙,offspring
1398,juVo,ɖʐuɣɔ,juhe,ᠵᡠᡥᡝ,,冰,ice
1399,juvwo,ɖʐuvʷɜ,jube,ᠵᡠᠪᡝ,,故事,"tale, story"
1400,juxwdem,ɖʐuxʷdɯm,jukdembi,ᠵᡠᡴᡩᡝ᠋ᠮᠪᡳ,,供奉,"to worship, to make an offering"
1401,jwailan,ɖʐʷajlan,juwan ilan,ᠵᡠᠸᠠᠨ ᡳᠯᠠᠨ,,十三 ,13 (thirteen)
1402,jwalm,ɖʐʷɑɹm,juwalambi,ᠵᡠᠸᠠᠯᠠᠮᠪᡳ,,赚,"to gain, to earn, to make profit"
1403,jwalReN,ɖʐʷɑɹʁɯŋ,juwalahangge,ᠵᡠᠸᠠᠯᠠᡥᠠᠩᡤᡝ,,赚了的,"a gain, profit"
1404,jwan,ɖʐʷɑn,juwan,ᠵᡠᠸᠠᠨ,,十,10 (ten)
1405,jwanaden,ɖʐʷɑnadɯn,juwan nadan,ᠵᡠᠸᠠᠨ ᠨᠠᡩ᠋ᠠᠨ,,十七,17 (seventeen)
1406,jwaniNun,ɖʐʷɑniŋun,juwan ninggun,ᠵᡠᠸᠠᠨ ᠨᡳᠩᡤᡠᠨ,,十六,16 (sixteen)
1407,jwanjaqun,ɖʐʷɑnɖʐaqun,juwan jakvn,ᠵᡠᠸᠠᠨ ᠵᠠᡴᡡᠨ,,十八,18 (eighteen)
1408,jyaNen,ɖʐʲaŋɯn,janggin,ᠵᠠᠩᡤᡳᠨ,,章京,Qing Dynasty military official
1409,jyeciiN,ɖʐʲətɕiiŋ,jacin ningge,ᠵᠠᠴᡳᠨ ᠨᡳᠩᡤᡝ,,第二的,second
1410,jyecy,ɖʐʲətɕʲ,jacin,ᠵᠠᠴᡳᠨ,,次位,"second, next"
1411,jyecy age,ɖʐʲətɕʲ aɡɯ,jacin age,ᠵᠠᠴᡳᠨ ᠠᡤᡝ,,二哥,second elder brother
1412,jyejim,ɖʐʲədʒim,jajambi,ᠵᠠᠵᠠᠮᠪᡳ,,背,to carry on one's back
1413,jyelevem,ɖʐʲəlɯvɯm,jailabumbi,ᠵᠠᡳ᠌ᠯᠠᠪᡠᠮᠪᡳ,,移开,(causative form of jyelm (= jailambi)) to move away
1414,jyelm,ɖʐʲəɹm,jailambi,ᠵᠠᡳ᠌ᠯᠠᠮᠪᡳ,,躲,"to hide, to dodge, to avoid"
1415,jyesyhen,ɖʐʲəsʲχɯn,jasigan,ᠵᠠᠰᡳᡤᠠᠨ,,信,letter
1416,jyor,ɖʐʲɔr,juwari,ᠵᡠᠸᠠᡵᡳ,,夏天,summer
1417,jyoreXem,ɖʐʲɔrɯʂɯm,jorixambi,ᠵᠣᡵᡳᡧᠠᠮᠪᡳ,,指示,to indicate
1418,jyorum,ɖʐʲɔrum,jorimbi,ᠵᠣᡵᡳᠮᠪᡳ,,指,to point to
1419,jyorun,ɖʐʲɔrun,jorin,ᠵᠣᡵᡳᠨ,,指示,"standard, instruction, mark"
1420,jyufwjya,ɖʐʲyfʷɖʐʲa,jibca,ᠵᡳᠪᠴᠠ,,皮袄,skin coat
1421,jyufwxun,ɖʐʲyfʷxun,jibehun,ᠵᡳᠪᡝᡥᡠᠨ,,被褥之被,bedding quilt
1422,jyujyum,ɖʐʲyɖʐʲym,jijumbi,ᠵᡳᠵᡠᠮᠪᡳ,,画线条,to draw a line
1423,jyujyun,ɖʐʲyɖʐʲyn,jijun,ᠵᡳᠵᡠᠨ,,线条,line
1424,jyusywxun,ɖʐʲysʲʷxun,jusihun,ᠵᡠᠰᡳᡥᡠᠨ,,酸,sour
1425,jyuzyunem,ɖʐʲyzʲynɯm,jusinambi,ᠵᡠᠰᡳᠨᠠᠮᠪᡳ,,酸了,to become sour
1426,jywol,ɖʐʲʷɜɹ,juwali,ᠵᡠᠸᠠᠯᡳ,,"旋毛, 笊篱","hair whorl (of the head), cowlick; strainer, colander"
1427,kacas,kaʈʂas,k'acas,ᠺᠠᠴᠠᠰ,,八叉,eight-pronged
1428,kafei,kafɯj,k'afei,ᠺᠠᡶᡝᡳ,,咖啡,coffee
1429,kalem,kalɯm,k'alambi,ᠺᠠᠯᠠᠮᠪᡳ,,卡住,to get stuck
1430,kandas,kandas,,,,衬衣,undershirt
1431,kecen,kɯʈʂɯn,hecen,ᡥᡝᠴᡝᠨ,,院墙,courtyard wall
1432,kefsem,kɯfsɯm,kebsembi,ᡴᡝᠪᠰᡝᠮᠪᡳ,,策马,to spur on a house
1433,keibisw,kɯjbisʷ,keibisu,ᡴᡝᡳ᠌ᠪᡳᠰᡠ,,毯子,"carpet, rug"
1434,kekerem,kɯkɯrɯm,kekerembi,ᡴᡝᡴᡝᡵᡝᠮᠪᡳ,,打饱嗝,to belch
1435,kemen,kɯmɯn,kemun,ᡴᡝᠮᡠᠨ,,"量, 尺度",ruler
1436,kemnem,kɯmnɯm,kemnembi,ᡴᡝᠮᠨᡝᠮᠪᡳ,,比对,to compare
1437,keNer,kɯŋɯr,kenggere,ᡴᡝᠩᡤᡝᡵᡝ,,太鼓,Taiko (Japanese drum)
1438,keNkE,kɯŋkə,hengke,ᡥᡝᠩᡴᡝ,,甜瓜,"muskmelon, sweet melon"
1439,kenVunjem,kɯnɣunɖʐɯm,kenehunjembi,ᡴᡝᠨᡝᡥᡠᠨᠵᡝᠮᠪᡳ,,疑虑,"to doubt, to suspect"
1440,keskE ,kɯskə,kesike,ᡴᡝᠰᡳᡴᡝ,,猫,cat
1441,kesy kesy kesy ,kɯsʲ kɯsʲ kɯsʲ,kesi kesi kesi,ᡴᡝᠰᡳ ᡴᡝᠰᡳ ᡴᡝᠰᡳ,,吼猫声,(cat-calling sound)
1442,keteman,kɯtɯman,,,,土铲,earth shovel
1443,ketkenem,kɯtkɯnɯm,ketkenembi,ᡴᡝᡨᡴᡝᠨᡝᠮᠪᡳ,,跳,to jump (up); to spring
1444,kevel,kɯvɯɹ,hefeli,ᡥᡝᡶᡝᠯᡳ,,腹部,"stomach, belly, abdomen, bosom"
1445,kevelem,kɯvɯlɯm,hefeliyembi,ᡥᡝᡶᡝᠯᡳᠶᡝᠮᠪᡳ,,"怀孕, 怀抱",to become pregnant; to embrace (in the bosom)
1446,kevelm,kɯvɯɹm,hefelembi,ᡥᡝᡶᡝᠯᡝᠮᠪᡳ,,揽怀入睡,to hold in the bosom while resting
1447,kevelVei,kɯvɯɹɣɯj,,,,"怀孕, 怀里抱",to become pregnant; to embrace in the bosom
1448,kicEb,kiʈʂəb,kicebe,ᡴᡳᠴᡝᠪᡝ,,勤奋,"hardworking, diligent"
1449,kidum,kidum,kidumbi,ᡴᡳᡩᡠ᠋ᠮᠪᡳ,,思念,"to think about, to long for, to miss"
1450,kifcan,kifʈʂan,hibcan,ᡥᡳᠪᠴᠠᠨ,,节俭,"frugal, economical"
1451,kifcarem,kifʈʂarɯm,hibcarambi,ᡥᡳᠪᠴᠠᡵᠠᠮᠪᡳ,,节俭,"to be frugal, economical"
1452,kifsw,kifsʷ,hibsu,ᡥᡳᠪᠰᡠ,,蜂蜜,honey
1453,kilo,kilɔ,kilo,ᡴᡳᠯᠣ,,千米,kilometer
1454,kilogeram,kilɔɡɯram,kilo geram,ᡴᡳᠯᠣ ᡤᡝᡵᠠᠮ,,公斤,kilogram
1455,kimcim,kimtɕim,kimcimbi,ᡴᡳᠮᠴᡳᠮᠪᡳ,,仔细,"to be careful, to be attentive"
1456,kiram,kiram,hirambi,ᡥᡳᡵᠠᠮᠪᡳ,,斜眼看人,to glare at 
1457,kirim,kirim,kirimbi,ᡴᡳᡵᡳᠮᠪᡳ,,忍,"to endure, to tolerate"
1458,kirw,kirʷ,kiru,ᡴᡳᡵᡠ,,旗,"flag, banner"
1459,kisalm,kisaɹm,hisalambi,ᡥᡳᠰᠠᠯᠠᠮᠪᡳ,,奠酒,to perform a libation
1460,kisam,kisam,,,,溢出,"to spill over, to overflow"
1461,kisavem,kisavɯm,,,,使溢出,causative form of kisam
1462,kishan,kisχan,hishan,ᡥᡳᠰᡥᠠᠨ,,污垢,"filth, grime"
1463,kithun,kitχun,hithvn,ᡥᡳᡨᡥᡡᠨ,,指甲,fingernail
1464,ku ,ku,ku,ᡴᡠ,,宝库,treasure storehouse
1465,kukun,kukun,hukun,ᡥᡠᡴᡠᠨ,,"肥料, 垃圾","fertilizer, trash"
1466,kum,kum,,,,浮肿,"swelling, bloatedness"
1467,kumun,kumun,kumun,ᡴᡠᠮᡠᠨ,,"乐器, 音乐","instrument, music"
1468,kundulm,kunduɹm,kundulembi,ᠵᡠᠸᠠᠨ ᡩ᠋ᡠ᠋ᡳ᠌ᠨ,,宽待,to treat cordially
1469,kurtun,kurtun,kurtun,ᡴᡠᡵᡨᡠ᠋ᠨ,,轮子,wheel
1470,kurvum,kurvum,kurbumbi,ᡴᡠᡵᠪᡠᠮᠪᡳ,,翻来覆去,to toss and turn (in bed)
1471,kurvw,kurvʷ,kurbu,ᡴᡠᡵᠪᡠ,,桥,bridge
1472,kusi,kuɕi,huwesi,ᡥᡠᠸᡝᠰᡳ,,小刀,knife
1473,kusilm,kuɕiɹm,huwesilembi,ᡥᡠᠸᡝᠰᡳᠯᡝᠮᠪᡳ,,刀刃(动词),(using a knife) to stab
1474,kusw,kusʷ,kuse,ᡴᡠᠰᡝ,,泡沫,foam; bubble
1475,kutulm,kutuɹm,kutulembi,ᡴᡠᡨᡠ᠋ᠯᡝᠮᠪᡳ,,牵,"(of animals) to lead, to pull"
1476,kuvun,kuvun,kubun,ᡴᡠᠪᡠᠨ,,棉花,cotton wool
1477,kyav cyemcy,kʲav tɕʲəmtɕʲ,,,,厚布裙子,thick-cloth shirt
1478,kyaver,kʲavɯr,kafur,ᡴᠠᡶᡠᡵ,,脆,"crispy, crunchy"
1479,kyes,kʲəs,hiyase,ᡥᡳᠶᠠᠰᡝ,,盒子,"box, case"
1480,kyontwhun,kʲɔntʷχun,kithvn,ᡴᡳᡨᡥᡡᠨ,,指甲,fingernail
1481,lafw,lafʷ,lafu,ᠯᠠᡶᡠ,,白菜,Chinese cabbage
1482,lahsem,laχsɯm,laksambi,ᠯᠠᡴᠰᠠᠮᠪᡳ,,脏了,to become dirty/soiled
1483,lahsevem,laχsɯvɯm,laksabumbi,ᠯᠠᡴᠰᠠᠪᡠᠮᠪᡳ,,使脏,causative form of lahsem (= laksambi)
1484,laijem,lajɖʐɯm,laijambi,ᠯᠠᡳ᠌ᠵᠠᠮᠪᡳ,,挂靠,to be affiliated with 
1485,lal beda,laɹ bɯda,lala buda,ᠯᠠᠯᠠ ᠪᡠᡩ᠋ᠠ,,蒸饭,steamed rice
1486,lam,lam,lama,ᠯᠠᠮᠠ,,喇嘛,lama (Tibetan Buddhism)
1487,lam yiVE,lam jiɣə,lama niyehe,ᠯᠠᠮᠠ ᠨᡳᠶᡝᡥᡝ,,野鸭的一种,"wild duck, Mandarin duck"
1488,lamsem,lamsɯm,lamsambi,ᠯᠠᠮᠰᠠᠮᠪᡳ,,(面)折,"(of a side, surface) to fold"
1489,lamun,lamun,lamun,ᠯᠠᠮᡠᠨ,,蓝色,blue
1490,laNs,laŋs,langse,ᠯᠠᠩᠰᡝ,,脏,"dirty, filthy"
1491,laNs om,laŋs ɔm,langse ombi,ᠯᠠᠩᠰᡝ ᠣᠮᠪᡳ,,脏了,"to become dirty, filthy"
1492,laNtu,laŋtu,,,,榔头,hammer
1493,laNu,laŋu,langgu,ᠯᠠᠩᡤᡠ,,南瓜,pumpkin
1494,laq sem,laq sɯm,lak seme,ᠯᠠᡴ ᠰᡝᠮᡝ,,落实状,appearance of being practical
1495,lash,lasχ,lasha,ᠯᠠᠰᡥᠠ,,决,"resolute, definitive"
1496,lashelm,lasχɯɹm,lashalambi,ᠯᠠᠰᡥᠠᠯᠠᠮᠪᡳ,,决断,to make a decision
1497,latem,latɯm,latumbi,ᠯᠠᡨᡠ᠋ᠮᠪᡳ,,"粘, 贴",to stick to
1498,latevem,latɯvɯm,latubumbi,ᠯᠠᡨᡠ᠋ᠪᡠᠮᠪᡳ,,"使粘, 使贴",causative form of latem (= latumbi)
1499,lavdw,lavdʷ,labdu,ᠯᠠᠪᡩᡠ᠋,,多,"many, much"
1500,lavdwqen,lavdʷqɯn,labdukan,ᠯᠠᠪᡩᡠ᠋ᡴᠠᠨ,,多一点,"more, a little more"
1501,lE lE lE ,lə lə lə,le le le,ᠯᡝ ᠯᡝ ᠯᡝ,,唤猪声,(pig-calling sound)
1502,lef,lɯf,lefu,ᠯᡝᡶᡠ,,熊,bear
1503,lefsem,lɯfsɯm,,,,大块朵颐,"to guzzle, to eat ravenously"
1504,leftelm,lɯftɯɹm,lebterembi,ᠯᡝᠪᡨᡝ᠋ᡵᡝᠮᠪᡳ,,弄通,to get a good grasp of 
1505,leftelvem,lɯftɯɹvɯm,lebterebumbi,ᠯᡝᠪᡨᡝ᠋ᡵᡝᠪᡠᠮᠪᡳ,,使弄通,causative form of leftelm (= lebterembi)
1506,lek,lɯk,leke,ᠯᡝᡴᡝ,,磨刀石,"whetstone, grinding stone"
1507,lekem,lɯkɯm,lekembi,ᠯᡝᡴᡝᠮᠪᡳ,,磨刀,to sharpen (a knife)
1508,lempen,lɯmpʰɯn,lempen,ᠯᡝᠮᡦᡝᠨ,,棚,"shed, shack"
1509,lev lavaqw ,lɯv lavaqʷ,lebe laba akv,ᠯᡝᠪᡝ ᠯᠠᠪᠠ ᠠᡴᡡ,,超出常规的,irregular
1510,leVderem,lɯɣdɯrɯm,lekterembi,ᠯᡝᡴᡨᡝ᠋ᡵᡝᠮᠪᡳ,,走形,"to deform, to lose shape"
1511,lewlem,ləɔlɯm,leolembi,ᠯᡝᠣᠯᡝᠮᠪᡳ,,讨论,to discuss
1512,li,li,teile,ᡨᡝ᠋ᡳ᠌ᠯᡝ,,"只是, 单单","only, merely, just"
1513,lii,lii,nei,ᠨᡝᡳ,,汗,"perspiration, sweat"
1514,lilim,lilim,liyeliyembi,ᠯᡳᠶᡝᠯᡳᠶᡝᠮᠪᡳ,,晕,to become dizzy
1515,lim,lim,neimbi,ᠨᡝᡳ᠌ᠮᠪᡳ,,打开,to open
1516,livem,livɯm,neibumbi,ᠨᡝᡳ᠌ᠪᡠᠮᠪᡳ,,使打开,causative form of lim (= neimbi)
1517,loh,lɔχ,loho,ᠯᠣᡥᠣ,,大刀,"broadsword, large knife"
1518,lolm,lɔɹm,lolombi,ᠯᠣᠯᠣᠮᠪᡳ,,哭闹,to bawl
1519,loq sem,lɔq sɯm,lok seme,ᠯᠣᡴ ᠰᡝᠮᡝ,,溢满,overflowing
1520,loRdorqw,lɔʁdɔrqʷ,lordokv,ᠯᠣᡵᡩ᠋ᠣᡴᡡ,,脸有肉的,chubby
1521,los,lɔs,losa,ᠯᠣᠰᠠ,,骡子,mule
1522,lukw ,lukʷ,luku ,ᠯᡠᡴᡠ,,茂密 ,"(of plant growth) thick, dense"
1523,lukwsun,lukʷsun,lukusun,ᠯᡠᡴᡠᠰᡠᠨ,,茂密处,thick/dense area
1524,luqa,luqa,nuka,ᠨᡠᡴᠠ,,刺,"thorn, splinter"
1525,lyaNs,lʲaŋs,liyangse,ᠯᡳᠶᠠᠩᠰᡝ,,窗帘,window curtains
1526,lyekem,lʲəkɯm,lakiyambi,ᠯᠠᡴᡳᠶᠠᠮᠪᡳ,,挂,"to hang, to dangle"
1527,lyesyxem,lʲəsʲxɯm,lasihiyambi,ᠯᠠᠰᡳᡥᡳᠶᠠᠮᠪᡳ,,甩,"to wave, to swing, to let go"
1528,lyosyqw,lʲɔsʲqʷ,lasihiyakv,ᠯᠠᠰᡳᡥᡳᠶᠠᡴᡡ,,拂尘,"horsetail whisk, duster"
1529,maa,maa,muwa,ᠮᡠᠸᠠ,,粗,"thick, coarse, rough, rude, vulgar"
1530,macem,maʈʂɯm,macumbi,ᠮᠠᠴᡠᠮᠪᡳ,,瘦(动词),to become thin
1531,macwhun,maʈʂʷχun,macuhvn,ᠮᠠᠴᡠᡥᡡᠨ,,瘦,"thin, slender, lean, skinny"
1532,madem,madɯm,madambi,ᠮᠠᡩ᠋ᠠᠮᠪᡳ,,肿,to swell
1533,maerim,mærim,marimbi,ᠮᠠᡵᡳᠮᠪᡳ,,返,"to come back, to go back"
1534,maf ,maf,mafa,ᠮᠠᡶᠠ,,祖宗,ancestor
1535,mafmam,mafmam,mafa mama,ᠮᠠᡶᠠ ᠮᠠᠮᠠ,,祖父母,paternal grandparents
1536,mahsim,maχɕim,maksimbi,ᠮᠠᡴᠰᡳᠮᠪᡳ,,跳舞,to dance
1537,mahsin,maχɕin,maksin,ᠮᠠᡴᠰᡳᠨ,,舞,dance
1538,mahtem,maχtɯm,maktambi,ᠮᠠᡴᡨ᠋ᠠᠮᠪᡳ,,称赞,"to praise, to complement"
1539,mahteXem,maχtɯʂɯm,maktaxambi,ᠮᠠᡴᡨ᠋ᠠᡧᠠᠮᠪᡳ,,称赞,to praise 
1540,maiqan,majqan,maikan,ᠮᠠᡳ᠌ᡴᠠᠨ,,帐,tent
1541,mais,majs,maise,ᠮᠠᡳ᠌ᠰᡝ,,麦子,wheat
1542,maitu,majtu,maitu,ᠮᠠᡳ᠌ᡨᡠ᠋,,棒锤,club
1543,maji,madʒi,majige,ᠮᠠᠵᡳᡤᡝ,,少许,"a little, a few"
1544,majig,madʒiɡ,majige,ᠮᠠᠵᡳᡤᡝ,,一点,a little
1545,mal,maɹ,malu,ᠮᠠᠯᡠ,,坛,wine jar
1546,malem,malɯm,malambi,ᠮᠠᠯᠠᠮᠪᡳ,,剥,"to roll up violently (one's sleeve); to rip off (one's clothing), to tear off (one's clothing)"
1547,malem,malɯm,malambi,ᠮᠠᠯᠠᠮᠪᡳ,,整体脱下,to take off entirely
1548,mame,mamɯ,liyeliyembi,ᠯᡳᠶᡝᠯᡳᠶᡝᠮᠪᡳ,,祖母,paternal grandmother
1549,maN,maŋ,mangga,ᠮᠠᠩᡤᠠ,,难,difficult
1550,maN,maŋ,mangga,ᠮᠠᠩᡤᠠ,,厉害,clever
1551,maN,maŋ,mangga,ᠮᠠᠩᡤᠠ,,"难, 硬, 强","difficult, hard"
1552,manem,manɯm,manambi,ᠮᠠᠨᠠᠮᠪᡳ,,磨损,"to be worn-out, to be threadbare"
1553,maNetem,maŋɯtɯm,manggatambi,ᠮᠠᠩᡤᠠᡨ᠋ᠠᠮᠪᡳ,,为难,"to feel embarrassed, awkward"
1554,maNetevem,maŋɯtɯvɯm,manggatabumbi,ᠮᠠᠩᡤᠠᡨ᠋ᠠᠪᡠᠮᠪᡳ,,难为,(causative form of maNettem (= manggatambi)) to trouble/bother
1555,manjw,manɖʐʷ,manju,ᠮᠠᠨᠵᡠ,,满洲,Manchuria
1556,maNqan,maŋqan,mangkan,ᠮᠠᠩᡴᠠᠨ,,丘,mound
1557,maNqanem,maŋqanɯm,mangkanambi,ᠮᠠᠩᡴᠠᠨᠠᠮᠪᡳ,,起丘,to form a mound
1558,maNsem,maŋsɯm,manggaxambi,ᠮᠠᠩᡤᠠᡧᠠᠮᠪᡳ,,不好意思,to feel bad
1559,mantu,mantu,mantu,ᠮᠠᠨᡨᡠ᠋,,馒头,steamed bun (mantou)
1560,maNus,maŋus,manggus,ᠮᠠᠩᡤᡠᠰ,,芒古斯(古代部落)引申为恶魔 ,an ancient tribe (extended to mean evil spirit)
1561,maNy,maŋʲ,manggi,ᠮᠠᠩᡤᡳ,,之后,after
1562,maqtem,maqtɯm,maktambi,ᠮᠠᡴᡨ᠋ᠠᠮᠪᡳ,,扔,"to throw, to toss"
1563,maRal,maʁaɹ,mahala,ᠮᠠᡥᠠᠯᠠ,,帽子,"hat, cap"
1564,mas,mas,mase,ᠮᠠᠰᡝ,,麻子,pockmark
1565,mathEn ,matχən,madagan,ᠮᠠᡩ᠋ᠠᡤᠠᠨ,,利息,interest (money)
1566,mave,mavɯ,mabu,ᠮᠠᠪᡠ,,抹布,cleaning rag
1567,mavelm,mavɯɹm,mabulambi,ᠮᠠᠪᡠᠯᠠᠮᠪᡳ,,抹,"to wipe, to mop"
1568,mawjun,mɑwɖʐun,,,,涩,"puckery, tart, astringent"
1569,mecen,mɯʈʂɯn,mucen,ᠮᡠᠴᡝᠨ,,锅,"pot, pan"
1570,medam,mɯdam,mudambi,ᠮᡠᡩ᠋ᠠᠮᠪᡳ,,"拐弯, 回",to go around a curve; to return
1571,medan,mɯdan,mudan,ᠮᡠᡩ᠋ᠠᠨ,,"音乐, 调; 弯; 回, 次数","music; tune, tone, melody; turn; number of times"
1572,medavem,mɯdavɯm,mudabumbi,ᠮᡠᡩ᠋ᠠᠪᡠᠮᠪᡳ,,返还,"(causative form of medam (= mudambi)) to return (something), to give back"
1573,medery,mɯdɯrʲ,mederi,ᠮᡝᡩᡝ᠋ᡵᡳ,,海,"sea, ocean"
1574,mei,mɯj,mei,ᠮᡝᡳ,,煤,coal
1575,meimeni,mɯjmɯni,meimeni,ᠮᡝᡳ᠌ᠮᡝᠨᡳ,,各自,"every one, each one, individual"
1576,meix,mɯjx,meihe,ᠮᡝᡳ᠌ᡥᡝ,,蛇,"snake, serpent"
1577,mejaqen,mɯɖʐaqɯn,mere jakan,ᠮᡝᡵᡝ ᠵᠠᡴᠠᠨ,,就刚才,just (now); a moment ago
1578,mejig,mɯdʒiɡ,mejige,ᠮᡝᠵᡳᡤᡝ,,信息,"news, information"
1579,mektem,mɯktɯm,mektembi,ᠮᡝᡴᡨᡝ᠋ᠮᠪᡳ,,比赛,"to compete, to bet, to wager"
1580,mekten,mɯktɯn,mekten,ᠮᡝᡴᡨᡝ᠋ᠨ,,比赛,"competition, bet, wager"
1581,melem,mɯlɯm,melembi,ᠮᡝᠯᡝᠮᠪᡳ,,给牲口喂水,to give water to livestock
1582,melm,mɯɹm,melembi,ᠮᡝᠯᡝᠮᠪᡳ,,焖,to braise
1583,melx beda,mɯɹx bɯda,melehe buda,ᠮᡝᠯᡝᡥᡝ ᠪᡠᡩ᠋ᠠ,,焖饭,braised rice
1584,meme,mɯmɯ,meme,ᠮᡝᠮᡝ,,阴茎,penis
1585,meN,mɯŋ,,,,痣,mole
1586,menjaN,mɯnɖʐaŋ,mujangga,ᠮᡠᠵᠠᠩᡤᠠ,,是的,"yes, indeed"
1587,meNs,mɯŋs,mengse,ᠮᡝᠩᠰᡝ,,床帐,bed curtain
1588,mEntwxun,məntʷxun,mentuhun,ᠮᡝᠨᡨᡠ᠋ᡥᡠᠨ,,愚笨,"stupid, foolish"
1589,mEntxuXem,məntxuʂɯm,mentuhuxembi,ᠮᡝᠨᡨᡠ᠋ᡥᡠᡧᡝᠮᠪᡳ,,愚笨,"to be stupid, to be foolish"
1590,mENun,məŋun,menggun,ᠮᡝᠩᡤᡠᠨ,,银子,"silver, money"
1591,mENun faen,məŋun fæn,menggun fiyan,ᠮᡝᠩᡤᡠᠨ ᡶᡳᠶᠠᠨ,,银色,silver color
1592,mersa,mɯrsa,mursa,ᠮᡠᡵᠰᠠ,,萝卜,radish
1593,merVedem,mɯrɣɯdɯm,merhedembi,ᠮᡝᡵᡥᡝᡩᡝ᠋ᠮᠪᡳ,,篦篦子,to comb
1594,merVedem,mɯrɣɯdɯm,mergedembi,ᠮᡝᡵᡤᡝᡩᡝ᠋ᠮᠪᡳ,,贤能,to be skilled and virtuous
1595,merVelem,mɯrɣɯlɯm,mergelembi,ᠮᡝᡵᡤᡝᠯᡝᠮᠪᡳ,,贤能,to be skilled and virtuous
1596,merVen,mɯrɣɯn,mergen,ᠮᡝᡵᡤᡝᠨ,,贤能,a skilled and virtuous person
1597,merVens,mɯrɣɯns,mergese,ᠮᡝᡵᡤᡝᠰᡝ,,精英们,elites
