Entry,Spoken,IPA,Written,Script Version,Script,Mandarin,English
77,alejen bo,alɯɖʐɯn bɔ,alajen boo,ᠠᠯᠠᠵᡝᠨ ᠪᠣᠣ,,"密室, 别栋","secret room, separate dwelling"
78,alem,alɯm,alambi,ᠠᠯᠠᠮᠪᡳ,,告知,"to tell, inform"
79,alh,aɹχ,alha,ᠠᠯᡥᠠ,,花色,multi-colored
80,alim,alim,aliyambi,ᠠᠯᡳᠶᠠᠮᠪᡳ,,等待,to wait
81,alim,alim,alimbi,ᠠᠯᡳᠮᠪᡳ,,接受,"to receive, to accept"
82,alin,alin,alin,ᠠᠯᡳᠨ,,山,"mountain, hill"
83,aliN,aliŋ,adalingge,ᠠᡩ᠋ᠠᠯᡳᠩᡤᡝ,,相同的,"identical, same"
84,alivem,alivɯm,alibumbi,ᠠᠯᡳᠪᡠᠮᠪᡳ,,"献, 送","(causative form of alim (= alimbi)), to present; to offer"
85,aliXem,aliʂɯm,alixambi,ᠠᠯᡳᡧᠠᠮᠪᡳ,,"悔; 烦闷, 寂寞",to regret; to feel depressed; to be lonely
86,aljem,aɹɖʐɯm,aljambi,ᠠᠯᠵᠠᠮᠪᡳ,,分离,to separate
87,aljevem,aɹɖʐɯvɯm,aljabumbi,ᠠᠯᠵᠠᠪᡠᠮᠪᡳ,,使分离,causative form of aljem (= aljambi)
88,alqem,aɹqɯm,alkvmbi,ᠠᠯᡴᡡᠮᠪᡳ,,跨步,to take a step across
89,alqen,aɹqɯn,alkvn,ᠠᠯᡴᡡᠨ,,步伐,pace/step
90,alRudem,aɹʁudɯm,alhvdambi,ᠠᠯᡥᡡᡩ᠋ᠠᠮᠪᡳ,,效仿,to imitate/mimic
91,alRudun,aɹʁudun,alhvdan,ᠠᠯᡥᡡᡩ᠋ᠠᠨ,,样板,imitation/mimicry
92,alven,aɹvɯn,alban,ᠠᠯᠪᠠᠨ,,公差,public service
94,am,am,ama,ᠠᠮᠠ,,父亲,father
93,am,am,amba,ᠠᠮᠪᠠ,,大,"big, large, great"
95,am betx,am bɯtx,amba bethe,ᠠᠮᠪᠠ ᠪᡝᡨᡥᡝ,,大脚,thigh
96,am deVame,am dɯɣamɯ,,,,大姨夫,mother's elder sister's husband
97,am deVeme,am dɯɣɯmɯ,amba deheme,ᠠᠮᠪᠠ ᡩ᠋ᡝ᠋ᡥᡝᠮᡝ,,大姨妈,mother's elder sister
98,am gufu,am ɡufu,amba gufu,ᠠᠮᠪᠠ ᡤᡠᡶᡠ,,大姑父,father's elder sister's husband
99,am guVu,am ɡuɣu,amba gugu,ᠠᠮᠪᠠ ᡤᡠᡤᡠ,,大姑,father's elder sister
100,am murw,am murʷ,amba muru,ᠠᠮᠪᠠ ᠮᡠᡵᡠ,,大概,"about, approximately"
101,am naqce,am naqʈʂɯ,amba nakcu,ᠠᠮᠪᠠ ᠨᠠᡴᠴᡠ,,大舅,mother's elder brother
102,am xenaqce,am xɯnaqʈʂɯ,amba hehe nakcu,ᠠᠮᠪᠠ ᡥᡝᡥᡝ ᠨᠠᡴᠴᡠ,,大舅母,mother's elder brother's wife
103,amba,amba,amba,ᠠᠮᠪᠠ,,大,"big, large, great"
104,ambage,ambaɡɯ,amba age,ᠠᠮᠪᠠ ᠠᡤᡝ,,大哥,eldest brother
105,ambaliN,ambaliŋ,ambalinggv,ᠠᠮᠪᠠᠯᡳᠩᡤᡡ,,"伟大, 大方","great, dignified"
106,ambame,ambamɯ,amba ama,ᠠᠮᠪᠠ ᠠᠮᠠ,,大伯,father's elder brother
107,amban,amban,amban,ᠠᠮᠪᠠᠨ,,大臣,cabinet minister
108,amberem,ambɯrɯm,ambarambi,ᠠᠮᠪᠠᡵᠠᠮᠪᡳ,,扩大,"to expand, to enlarge"
109,ambo,ambɔ,amba boo,ᠠᠮᠪᠠ ᠪᠣᠣ,,大家,"main home, main residence"
110,ambu,ambu,amba ,ᠠᠮᠪᠠ,,大,"big, large, older"
111,ambuni,ambuni,amba eniye,ᠠᠮᠪᠠ ᡝᠨᡳᠶᡝ,,伯母,father's elder brother's wife
112,amcem,amʈʂɯm,amcambi,ᠠᠮᠴᠠᠮᠪᡳ,,追,"to pursue, to run after, to chase"
113,ame,amɯ,ama,ᠠᠮᠠ,,父亲,father
114,amel,amɯɹ,amala,ᠠᠮᠠᠯᠠ,,"后, 后来","after, afterwards/later"
115,ameni,amɯni,ama ni,ᠠᠮᠠ ᠨᡳ,,他爸,father
116,amerVi,amɯrɣi,amargi,ᠠᠮᠠᡵᡤᡳ,,"后面, 北面","rear/behind, north"
117,amG enen,amɢ ɯnɯn,amga enen,ᠠᠮᡤᠠ ᡝᠨᡝᠨ,,后裔,descendants
118,amh,amχ,amha,ᠠᠮᡥᠠ,,"公公, 老丈人",father-in-law
119,amilen,amilɯn,amila,ᠠᠮᡳᠯᠠ,,雄禽,"rooster, cock (male bird)"
120,amnem,amnɯm,amnambi,ᠠᠮᠨᠠᠮᠪᡳ,,模仿,"to imitate, to copy"
